task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
27	78/64d337	5b2cdb9b-1674-47b4-ab8c-e37e1bc64df0	mapUnmatchedReads (6)	CACHED	0	2020-09-21 16:55:21.289	59m 22s	46m 6s	693.4%	89 GB	114.2 GB	1.6 GB	1.6 GB
45	f6/106f25	f1bd51c6-b734-4f21-9e1a-0e995459514b	deNovoAssembly (11)	CACHED	0	2020-09-21 17:58:13.849	10m	9m 26s	558.2%	2.5 GB	12.7 GB	6 GB	7 GB
60	74/6a4ce7	ff9abe3d-67d8-4214-8261-90f03d30e297	deNovoAssembly (1)	CACHED	0	2020-09-21 17:54:43.883	12m 29s	11m 26s	526.6%	3.3 GB	12.7 GB	7.9 GB	7.8 GB
40	14/fcda43	e4e6fe33-f8ed-4994-93f6-49556e8c40bc	mapReads (8)	CACHED	0	2020-09-22 14:51:06.107	6m 27s	2m 56s	813.1%	85.9 MB	1 GB	1.3 GB	4 GB
61	6c/7fa4ff	c9c62a31-333c-4434-aee1-6a8650d46f0b	mapReads (2)	CACHED	0	2020-09-22 20:21:01.257	5m	49s	815.7%	84.8 MB	1 GB	331.5 MB	968.5 MB
57	ad/4425de	b47668f2-2abd-4095-b9d6-4d0f647d5e15	mapUnmatchedReads (15)	CACHED	0	2020-09-21 17:09:31.406	59m 2s	48m 54s	715.8%	90.4 GB	118.8 GB	22.3 GB	22.3 GB
43	2f/3cb68e	466f3117-e624-4c33-b9b9-66833a751e80	mapUnmatchedReads (14)	CACHED	0	2020-09-21 16:55:22.072	1h 2m 11s	47m 36s	705.0%	98.4 GB	119.1 GB	7.5 GB	7.5 GB
55	a9/c392c8	c7a9fdfb-48dd-4958-a1fe-628408cc85f0	mapUnmatchedReads (9)	CACHED	0	2020-09-21 16:55:22.142	1h 3m 51s	49m 8s	671.9%	92.4 GB	117.7 GB	1.9 GB	1.9 GB
59	25/503eb4	501dc2a9-7b80-412a-9d73-5585a24dc9ad	mapUnmatchedReads (11)	CACHED	0	2020-09-21 16:55:22.023	1h 21s	46m 18s	700.7%	89.8 GB	118.9 GB	16.4 GB	16.3 GB
44	b5/c461fa	358e1b9f-449a-43ea-88fa-19f95ca7202b	mapUnmatchedReads (10)	CACHED	0	2020-09-21 16:55:22.023	1h 11s	46m 27s	689.0%	88.3 GB	114.3 GB	1.7 GB	1.7 GB
42	e0/1a4f81	0cba4e07-3e12-4736-8b13-e1d5ee2afa42	deNovoAssembly (1)	CACHED	0	2020-09-22 20:21:01.808	22m 19s	17m 38s	594.6%	3.4 GB	12.7 GB	9.3 GB	13 GB
56	05/af6470	c3f17d9d-0bb7-417f-af18-d108c7222d58	mapUnmatchedReads (12)	CACHED	0	2020-09-21 16:55:22.061	1h 3m 31s	49m 5s	686.9%	99.2 GB	118.9 GB	15.2 GB	15.2 GB
58	87/f70aa7	ddf4418e-b320-4cc2-b617-d852e8552430	mapUnmatchedReads (13)	CACHED	0	2020-09-21 16:55:22.069	1h 51s	46m 5s	721.0%	98.7 GB	118.9 GB	8.9 GB	8.9 GB
63	f6/5fc982	7b6efe67-5fcb-4207-9b45-3cb850638676	samToBam (8)	CACHED	0	2020-09-22 20:26:01.326	4m 30s	1m 31s	94.9%	747.3 MB	969.5 MB	994.6 MB	282.8 MB
68	ca/1c17e8	c99f3767-add3-41da-a66e-e85dea9ac881	deNovoAssembly (13)	CACHED	0	2020-09-21 17:59:13.933	8m 10s	7m 5s	542.5%	1.6 GB	12 GB	4.4 GB	7.6 GB
72	51/c1dba8	6dba6233-3e82-4c31-8293-573a10d9594b	deNovoAssembly (2)	CACHED	0	2020-09-21 17:55:33.848	9m 19s	8m 7s	563.4%	1.6 GB	12 GB	4.9 GB	8.1 GB
69	95/9043ff	33373ff9-493e-418a-8853-4feab66314e8	mapReads (12)	CACHED	0	2020-09-22 14:51:09.296	3m 24s	20s	799.9%	84.7 MB	1 GB	156.1 MB	448.3 MB
73	d2/12430d	2842ba9c-1691-457e-ba79-841096da0a69	mapReads (14)	CACHED	0	2020-09-22 14:51:09.375	3m 34s	27s	807.6%	84.9 MB	1 GB	185.9 MB	558.5 MB
77	42/76c691	aa54204e-3dae-4cc5-ac4f-3625a09b60fa	mapReads (11)	CACHED	0	2020-09-22 14:51:09.288	8m 44s	4m 54s	806.2%	86.5 MB	1 GB	1.8 GB	5.6 GB
79	b2/86cb39	1d638c9c-76aa-46e8-a68f-24638431fddf	samToBam (2)	CACHED	0	2020-09-22 14:54:33.879	1m 10s	36s	97.1%	350.7 MB	953.5 MB	458.8 MB	134.1 MB
80	9d/36e99b	ed29142f-f49c-495f-bcc8-db830aa74b54	samToBam (3)	CACHED	0	2020-09-22 14:54:44.006	1m 29s	43s	100.0%	437.3 MB	969.5 MB	571 MB	162.8 MB
78	e0/50a212	2b83decb-bb68-4058-accf-1540c32dd884	removeDuplicates (5)	CACHED	0	2020-09-22 20:30:31.485	5m 50s	22s	187.7%	1.4 GB	5.3 GB	228.5 MB	61.5 MB
81	9e/68bb86	b2ebcec5-141e-4f48-8a88-f0d19d5eb20d	samToBam (4)	CACHED	0	2020-09-22 20:21:05.877	13m 45s	8m 36s	103.2%	841.2 MB	1001.5 MB	6.4 GB	2.3 GB
85	a1/968be9	4785acb2-039c-4250-8049-31e32a7fb198	callVariants (4)	CACHED	0	2020-09-22 20:36:23.449	4m 28s	8s	100.1%	11 MB	30.2 MB	13.9 MB	775.3 KB
82	17/2784ce	9b93ce38-b749-4b37-8c0c-b60bb55e1c01	removeDuplicates (1)	CACHED	0	2020-09-22 14:55:44.025	1m 20s	21s	158.4%	1.2 GB	5.1 GB	167.1 MB	250.3 MB
83	7a/df86e1	1c36e7c8-2ce1-46bf-adc2-1332336936d3	removeDuplicates (2)	CACHED	0	2020-09-22 14:56:13.960	1m 40s	33s	164.2%	1.2 GB	5.1 GB	197.6 MB	294.9 MB
87	c6/7ac521	7a7a068b-b360-4aaa-bb80-a090a51dda25	callVariants (1)	CACHED	0	2020-09-22 14:57:04.929	1m 29s	34s	100.9%	13.6 MB	32.6 MB	43.4 MB	410.9 KB
90	5e/8040c4	86ac82bf-1d0b-426e-86d0-599bc3c20dae	callVariants (3)	CACHED	0	2020-09-22 14:57:54.695	1m 29s	34s	100.3%	17.4 MB	36.1 MB	50.3 MB	358.4 KB
86	97/f141e6	636b9f07-41dc-4b15-b783-f36334fea1f4	removeDuplicates (8)	CACHED	0	2020-09-22 20:34:51.493	7m 10s	2m 28s	128.8%	1.6 GB	5.3 GB	1.5 GB	1.5 GB
46	34/38d273	9f317ee1-121b-4587-8c72-78c42a10b2e8	mapReads (3)	COMPLETED	0	2020-09-22 21:06:41.643	1m 37s	50s	802.1%	84.8 MB	1 GB	258 MB	761 MB
41	19/df11b1	66490d2c-a962-4476-8b31-b4c60e2dd105	mapReads (2)	COMPLETED	0	2020-09-22 21:06:41.763	1m 57s	1m 12s	801.3%	85.2 MB	1 GB	330.9 MB	991.6 MB
53	0c/98dc74	bf57cf17-9e9d-4a61-9645-acb3145c65c3	mapReads (7)	COMPLETED	0	2020-09-22 21:06:41.600	2m 47s	1m 42s	802.5%	85.6 MB	1 GB	552.7 MB	1.6 GB
51	e9/79f791	0f485d31-d03a-4b44-bb1c-c34686d89932	mapReads (6)	COMPLETED	0	2020-09-22 21:06:41.507	5m 18s	4m 2s	806.8%	85.5 MB	1 GB	1.5 GB	4.5 GB
47	2d/0d64a6	ba57f83c-1807-4fd8-8168-62e772e32e0c	mapReads (4)	COMPLETED	0	2020-09-22 21:06:41.265	6m 18s	5m 3s	810.8%	85.7 MB	1 GB	1.9 GB	5.6 GB
50	ff/ceed87	8ab169d9-543f-4761-be82-b846e3a09d68	mapReads (5)	COMPLETED	0	2020-09-22 21:06:41.474	7m 48s	6m 19s	813.0%	86.7 MB	1 GB	2.3 GB	6.9 GB
62	d0/346571	c6cc5de0-90c9-421c-a4b5-332d9898c1d9	samToBam (1)	COMPLETED	0	2020-09-22 21:06:42.726	10m 17s	6m 15s	105.6%	841.3 MB	1001.5 MB	4.6 GB	1.6 GB
67	dc/f08a1f	34d4e05a-9611-4ff2-b23d-cb57c70e6f4a	mapReads (10)	COMPLETED	0	2020-09-22 21:06:45.687	14m 34s	3m 42s	801.0%	86.4 MB	1 GB	1.5 GB	4.7 GB
71	0b/fa4cf3	db6f9dd9-3dc7-4851-94c4-3e42d0697f5e	mapReads (12)	COMPLETED	0	2020-09-22 21:06:45.597	20m 14s	10m 26s	794.0%	87 MB	1 GB	3.2 GB	10 GB
84	8f/350c86	adfb46e6-01fe-4777-9af5-6bbeefa988a2	mergeAssemblyMapping (1)	COMPLETED	0	2020-09-22 21:06:47.118	22m 22s	56.9s	101.1%	1.8 GB	2.2 GB	43.5 MB	9 MB
65	91/8b9523	99922d23-f395-40b7-b4a6-cda6e1c69007	mapReads (9)	COMPLETED	0	2020-09-22 21:06:44.626	22m 35s	13m 45s	798.5%	86.2 MB	1 GB	4.4 GB	14 GB
74	87/392457	acc66816-0fed-474a-b906-e740b4d117d0	mapReads (14)	COMPLETED	0	2020-09-22 21:06:45.847	22m 34s	9m 36s	799.2%	87.1 MB	1 GB	3.1 GB	9.5 GB
89	59/fbfcdb	223b2b36-96d6-4b1a-9bca-bb45a0589a9e	mergeAssemblyMapping (3)	COMPLETED	0	2020-09-22 21:06:47.854	24m 12s	1m 4s	95.4%	1.9 GB	2.2 GB	43.5 MB	9.1 MB
92	ee/25a45d	4ee43b01-029f-4ff4-a450-fadcc5171fe9	mergeAssemblyMapping (4)	COMPLETED	0	2020-09-22 21:06:48.100	24m 12s	1m 5s	95.3%	10 GB	12.4 GB	43.5 MB	9.1 MB
